Title,Date,Category,Location,URL
30 Jahre PARADOX – Mitten im Land,"Do., 4 Juni, 2026 07:00",Vernissage,"Foyer Kreishaus Marburg-Biedenkopf, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/4b427ed1-6577-4303-9c25-b985e59e34d2/30-jahre-paradox---mitten-im-land
Angela Anzi: Aftertone,"Do., 4 Juni, 2026 11:00",Dauerausstellung,"Marburger Kunstverein , Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/df129756-2c4d-41ae-9ec4-2567476f8281/angela-anzi--aftertone
Sonderführungen Mineralogische Museum,"Do., 4 Juni, 2026 13:30",Museumsführungen,"Mineralogisches Museum, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/d384327c-27cd-4857-a183-9a5e7b73f539/sonderfuehrungen-mineralogische-museum
Vernissage Frauke Rohenkohl: Varanasi Korridor,"Do., 4 Juni, 2026 16:00",Vernissage,"17QM, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/b9407ba7-2dee-4f96-8ab9-2869cfaed33e/vernissage-frauke-rohenkohl--varanasi-korridor
FREI~QUENZ,"Do., 4 Juni, 2026 18:00",Party/Disco,"Café Trauma im G-Werk, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/dd94d58c-39c0-4518-b0ef-c52d90073fb2/frei-quenz
Unbetreutes Denken,"Do., 4 Juni, 2026 19:00",Vernissage,"17 QM, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/2d4580ab-02f3-4122-b5ac-b1ab625cb7f6/unbetreutes-denken
Nearly Close Enough to Kiss No. 7,"Do., 4 Juni, 2026 19:00",Festival,"zwischen Nord- und Altstadt, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/88f4fefc-4fbf-4d89-ab89-cd3251d0fe2b/nearly-close-enough-to-kiss-no--7
Toc Toc,"Do., 4 Juni, 2026 20:00",Kabarett / Satire,"Waggonhalle, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/b58d8455-f36c-4eeb-9d91-405b5ba53cdf/toc-toc
TEAM ROBIN HOOD,"Do., 4 Juni, 2026 20:00",Sprechtheater / Schauspiel,"Schlossparkbühne, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/ef6f5873-e81d-4538-9dae-eb343e60af08/team-robin-hood
Trio Talan,"Do., 4 Juni, 2026 20:30",Blues / Jazz / Gospel,"Cavete, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/34ecf1b0-2a22-434c-a5a8-0c42afd11652/trio-talan
