Title,Date,Category,Location,URL
Team Robin Hood,2026-06-04,Marburg express featured,Schlossparkbühne,no url provided
Toc Toc,2026-06-04,Marburg express featured,Waggonhalle,no url provided
"Trio Talan – Viele Welten, ein Klang",2026-06-04,Marburg express featured,Cavete,no url provided
Dressur Tunier 2026,2026-06-05,Marburg express featured,Verein der Pferdefreunde Gladenbach und Umgebung e. V.,no url provided
kreuz und quer &#8211; denken in Marburg,2026-06-05,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Gedenkveranstaltung für Reinhard Brandt,2026-06-05,Marburg express featured,Aula der Alten Universität,no url provided
Aktionstag mit dem Bewegungsbus,2026-06-05,Marburg express featured,Christa-Czempiel Platz,no url provided
Rosen(be)Wunder(n) Spaziergang,2026-06-05,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Offene Bewegungsangebote: Zumba,2026-06-05,Marburg express featured,Sophie-von-Brabant-Schule,no url provided
Hexenverfolgung in Marburg,2026-06-05,Marburg express featured,Haus der Romantik,no url provided
Nearly Close Enough to Kiss No. 7,2026-06-05,Marburg express featured,"Treffpunkt: Elisabethbrücke, Bahnhofstraße ggü. Aroma",no url provided
The Keller Theatre presents „Adventures in Mating“ &#8211; A comedy by Joseph Scrimshaw,2026-06-05,Marburg express featured,Kleine Bühne Gießen,no url provided
Mara Chiaki + i like colours,2026-06-05,Marburg express featured,Cafe Trauma,no url provided
Toc Toc,2026-06-05,Marburg express featured,Waggonhalle,no url provided
Marilyn Monroe – What A Beautiful Dream,2026-06-05,Marburg express featured,Aussichtsplattform Spiegelslustturm,no url provided
Neon Eclipse Vol. 5 &#8211; Retro Synthwave Party,2026-06-05,Marburg express featured,Bunkerbar Marburg,no url provided
Dressur Tunier 2026,2026-06-06,Marburg express featured,Verein der Pferdefreunde Gladenbach und Umgebung e. V.,no url provided
Lahnwiesen parkrun,2026-06-06,Marburg express featured,Bolzplatz Lahnwiesen Ecke Dörfflerstraße,no url provided
Einfach Heiraten,2026-06-06,Marburg express featured,Elisabethkirche,no url provided
Aktionstag mit dem Bewegungsbus,2026-06-06,Marburg express featured,Christa-Czempiel Platz,no url provided
Nachhaltiger Stadtspaziergang NaTourMar,2026-06-06,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Herzenstag Mornshausen,2026-06-06,Marburg express featured,Dorfgemeinschaft Mornshäuser,no url provided
Offener Schreibtreff,2026-06-06,Marburg express featured,Innenstadt,no url provided
„Midissage“ der Künstlerin Dorothea Merz,2026-06-06,Marburg express featured,Colosseo,no url provided
Offene Bewegungsangebote: Rückenschule,2026-06-06,Marburg express featured,Georg-Gaßmann-Stadion,no url provided
35 Jahre Mütterzentrum Marburg e.V.,2026-06-06,Marburg express featured,Mütterzentrum Marburg,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-06-06,Marburg express featured,Bad Endbach,no url provided
Auftakt-Konzert auf der Langendorfer Mühle,2026-06-06,Marburg express featured,Langendorfer Mühle,no url provided
Ich zeige dir meine (Ober)Stadt,2026-06-06,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Rooftop Day Frankfurt,2026-06-06,Marburg express featured,Caricatura Museum Frankfurt,no url provided
Stunde der Orgel,2026-06-06,Marburg express featured,Lutherische Pfarrkirche,no url provided
Lieder mit Haltung und Herz,2026-06-06,Marburg express featured,Alte Kirche Bürgeln,no url provided
Nearly Close Enough to Kiss No. 7,2026-06-06,Marburg express featured,"Marburg Nord bis Marburg Mitte, öffentlicher Raum",no url provided
The Keller Theatre presents „Adventures in Mating“ &#8211; A comedy by Joseph Scrimshaw,2026-06-06,Marburg express featured,Kleine Bühne Gießen,no url provided
Toc Toc,2026-06-06,Marburg express featured,Waggonhalle,no url provided
Ankor + support: Seven Blood,2026-06-06,Marburg express featured,KFZ,no url provided
LieBigBand,2026-06-06,Marburg express featured,Kloster Schiffenberg,no url provided
Silent Disco,2026-06-06,Marburg express featured,Theater neben dem Turm,no url provided
Antik &#038; Trödel,2026-06-07,Marburg express featured,Messe Giessen,no url provided
Dressur Tunier 2026,2026-06-07,Marburg express featured,Verein der Pferdefreunde Gladenbach und Umgebung e. V.,no url provided
Open Sunday,2026-06-07,Marburg express featured,Großsporthalle Richtsberg-Gesamtschule,no url provided
Unsere Alpinenwiese,2026-06-07,Marburg express featured,Neuer Botanischer Garten,no url provided
