Title,Date,Category,Location,URL
30 Jahre PARADOX – Mitten im Land,2026-06-04,Vernissage,"Foyer Kreishaus Marburg-Biedenkopf, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/4b427ed1-6577-4303-9c25-b985e59e34d2/30-jahre-paradox---mitten-im-land
Angela Anzi: Aftertone,2026-06-04,Dauerausstellung,"Marburger Kunstverein , Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/df129756-2c4d-41ae-9ec4-2567476f8281/angela-anzi--aftertone
Sonderführungen Mineralogische Museum,2026-06-04,Museumsführungen,"Mineralogisches Museum, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/d384327c-27cd-4857-a183-9a5e7b73f539/sonderfuehrungen-mineralogische-museum
Vernissage Frauke Rohenkohl: Varanasi Korridor,2026-06-04,Vernissage,"17QM, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/b9407ba7-2dee-4f96-8ab9-2869cfaed33e/vernissage-frauke-rohenkohl--varanasi-korridor
FREI~QUENZ,2026-06-04,Party/Disco,"Café Trauma im G-Werk, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/dd94d58c-39c0-4518-b0ef-c52d90073fb2/frei-quenz
Unbetreutes Denken,2026-06-04,Vernissage,"17 QM, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/2d4580ab-02f3-4122-b5ac-b1ab625cb7f6/unbetreutes-denken
Nearly Close Enough to Kiss No. 7,2026-06-04,Festival,"zwischen Nord- und Altstadt, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/88f4fefc-4fbf-4d89-ab89-cd3251d0fe2b/nearly-close-enough-to-kiss-no--7
Toc Toc,2026-06-04,Kabarett / Satire,"Waggonhalle, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/b58d8455-f36c-4eeb-9d91-405b5ba53cdf/toc-toc
TEAM ROBIN HOOD,2026-06-04,Sprechtheater / Schauspiel,"Schlossparkbühne, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/ef6f5873-e81d-4538-9dae-eb343e60af08/team-robin-hood
Trio Talan,2026-06-04,Blues / Jazz / Gospel,"Cavete, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/34ecf1b0-2a22-434c-a5a8-0c42afd11652/trio-talan
Musicalaufführung Adonia,2026-06-05,Musical,"Evangeliumshalle Wehrda, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/cbd33fd8-f5f4-4d54-b9f8-d2dc9b9bfccb/musicalauffuehrung-adonia
Mara Chiaki + i like colours,2026-06-05,Musikveranstaltung / Konzerte,"Café Trauma im G-Werk, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/8f30e47b-dee0-484d-ab2b-75322e433382/mara-chiaki---i-like-colours
Marilyn Monroe,2026-06-05,Sprechtheater / Schauspiel,"Kaiser-Wilhelm-Turm | Spiegelslustturm, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/689f8afa-1aa8-4e86-8543-430674973316/marilyn-monroe
Wochenmarkt Südviertel,2026-06-06,Bauernmarkt / Regionalmarkt,"Südviertel, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/dec5ee81-8543-4afc-b1b6-a904cb45ab21/wochenmarkt-suedviertel
Dorothea Merz,2026-06-06,Ausstellung,"Colosseo, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/78760b47-cf9d-4160-bd12-bb8d8c352e61/dorothea-merz
Sturm im Wasserglas #3,2026-06-06,Vernissage,"Meteorologischer Turm im Schlosspark, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/52243216-9e00-4b82-8f73-918d7934afd0/sturm-im-wasserglas--3
Die Spielzeugwelt vor 100 Jahren,2026-06-06,Ausstellung,"Dorfmuseum Oberrosphe, Wetter",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/a404014d-9b31-4f74-8b05-2787a088755f/die-spielzeugwelt-vor-100-jahren
Essbare heimische Wild- und Heilkräuter entdecken,2026-06-06,Kräuterführungen,"Umgebung von Bad Endbach, Bad Endbach",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/1ff68ae1-2059-4e49-afc4-9b389ba9e233/essbare-heimische-wild--und-heilkraeuter-entdecken
Langendorfer Mühle,2026-06-06,Musikveranstaltung / Konzerte,"Langendorfer Mühle, Wohratal",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/1dad41a7-bf15-4d11-af58-b5480e4f1b0d/langendorfer-muehle
Liedermacher-Duo Fogel F,2026-06-06,Musikveranstaltung / Konzerte,"Alte Kirche Bürgeln, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/49a16778-8a2f-486f-9e06-966aa073eaef/liedermacher-duo-fogel-f
Stunde der Orgel,2026-06-06,Kirchenmusik,"Lutherische Pfarrkirche, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/6e484564-c460-4f55-8e28-b3830314b6b2/stunde-der-orgel
Ankor,2026-06-06,Musikveranstaltung / Konzerte,"Kulturzentrum KFZ, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/e263614a-9ea8-4ac8-ae41-9df98c33da49/ankor
Wir gehen jetzt - OHGV Biedenkopf - Klangvoll,2026-06-07,Ausflug,"Parkplatz - Abfahrt Biedenkopf Mitte - (Unterhalb, ...",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/b9b1f16d-f2f0-42da-87d6-82a2b17e0664/wir-gehen-jetzt---ohgv-biedenkopf---klangvoll
Ein Tag im Paradies,2026-06-07,Ausstellung,"Haus der Romantik, Marburg",https://www.marburg-liebe.de/veranstaltungskalender.html#/veranstaltungen/RPT/b7abaf59-d3bd-4681-9eaf-ab86f8968046/ein-tag-im-paradies
